,index,approveDate,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,isAnonymous,parentID,parentUserDisplayName,permID,picURL,recommendations,recommendedFlag,replies,replyCount,status,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL
0,0,1580866824,All these electronic fantasies are Just One EMP burst away from disappearing. The written word on paper will probably out last humanity.,105010371,105010371,<br\//>,comment,1580858108,1,False,False,,,105010371,,0,0,[],0,approved,0,1580866824,Sam,67341178,Southeast USA,NULL,NULL
1,1,1579907069,"But will you be able to curl up with your VR on a cold, damp weekend, coffee within arm’s reach? VR may replace movies, but I don’t think it will give you that sense of lazy content.",104805096,104805096,<br\//>,comment,1579906910,1,True,False,,,104805096,,2,0,[],0,approved,0,1580821082,Big D,86379687,Texas,NULL,NULL
2,2,1579638549,"I buy books with CASH and read them.  Big brother and the data machines don't know what I read, when I read it, what I note down or who I lend the books to.  Oh, and they can't take them away from me.

The data scrapers and pirates out there are sucking up all sorts of data from your e-readers folks all of it without your consent.",104723252,104723252,<br\//>,comment,1579550427,1,False,False,,,104723252,,1,0,[],0,approved,0,1589128044,JLD,7677832,Toronto,NULL,NULL
3,3,1579635031,"Great story Ms Harrow.I see a lot of comments here by book lovers (of which I am one). But most of them sound like they are ""Whistling past the Graveyard"", as they insist how books will always be here. They will, but greatly diminished. Unfortunately, I can see your future you write about here. Even now, quite a ways before your future happens. Sure, many thousands still read and love books, but the masses will always gravitate toward the ""Easy"". What is is easier than putting on a headset or having an implant, & let the story do the thinking & work for you?
I see the widespread cell phone addiction cutting through all strata of existence. When your VR finally arrives it will be enslavement - on a massive scale. And sadly, it will be embraced by most. Odds are, I won't be here to see the final result, & I am sadly ... grateful for that.",104739719,104739719,<br\//>,comment,1579635029,1,False,False,,,104739719,,0,0,[],0,approved,0,1579635031,Dheep',87316926,Midgard,NULL,NULL
4,4,1579536562,"I laughed when I read this. Recently 4 of my 5 grandchildren (all under 11) were hanging out all quietly reading books. The 5th, a 2-year old had a picture book and was making up her own story. I asked, ""Where are the iPads?"" The answer from the oldest without looking up from the page, ""Book with paper pages are better!"" I've always known that children are wiser than adults, and it's great to live alongside ""5 Wise People.""",104720953,104720953,<br\//>,comment,1579536561,1,False,False,,,104720953,,4,0,[],0,approved,0,1579571182,Mel,82078764,Louisiana,NULL,NULL
5,5,1579529923,"I'm just now stumbling across this essay in mid January (six weeks after it was originally published), but wow. It was a thought-provoking read that actually felt like a possible missive from 20 years down the road. 

I was not familiar with Ms. Harrow, but I'm going to look for ""The Ten Thousand Doors of January"" on Amazon now. I will probably buy a physical copy, just so I can enjoy the feeling of holding/smelling/touching a book while I still can ;)",104719912,104719912,<br\//>,comment,1579529922,1,False,False,,,104719912,,1,0,[],0,approved,0,1579564563,Cloud Hunter,69801714,"Galveston, TX",NULL,NULL
6,6,1576085449,"I would really not want to personally experience most of the things that happen to characters in books. 

Also it's hard to imagine that production would be democratized when you think about how much time and detail has to be put in to a television show, which is relatively static. One person alone in a trailer park can write a convincing, good novel, because books remain dependent on the imagination of the other person to do the legwork.

Is it even experiential if you can't choose your own adventure so to speak? Is this not just really detailed, emotionally prescriptive television?",104096007,104096007,<br\//>,comment,1576085448,1,False,False,,,104096007,,1,0,[],0,approved,0,1579564594,Valerie,84419997,NYC or Dallas,NULL,NULL
7,7,1575845230,"The smell of a bookstore cannot be replaced by a ‘ virtual’ smell o vision . Sorry 

As to the content , i pity the poor souls whose lack of imagination does not permit  their minds to wander Not people i would associate with",104036836,104036836,<br\//>,comment,1575812789,1,False,False,,,104036836,,1,0,[],0,approved,0,1579564615,Adam S Urban Warrior,41965615,Bronx NY,NULL,NULL
8,8,1575725549,"Your certainty is compelling. Still, for some of us -- it is not stories per se. The text echo of tellers, the poets song, the conversation across centuries, the illuminated art of our voices, in their vaults of beauty will still compel. Speech will find its tablet, unless our voices grow quiet. You've blown off the frame, as your cyber pals have done. And it is true, we remember how things have changed, we librarians of anachronistic pulp. It's true, I'm offended by your bleached nonsense and travesty of decay. Your words are a reflection of where we are. Stymied by the news that nothing will soon exist. Least of all the format of digital sand along the drowned beaches. No Jane in the sky and all the grids down. Chauvet caves and their symbols? Submerged. Your writing is experienced and beautiful, sad you will cease to exist like the rest of us. Ready?",104022945,104022945,<br\//>,comment,1575687591,1,False,False,,,104022945,,0,0,[],0,approved,0,1575725549,lloyd knowlton,93655253,"sarasota, fl",NULL,NULL
9,9,1575583573,"Ah, yes, ""experience"" mediated by technology must be better  than the unaided imagination.

That may well be true, for people with weak, untrained imaginations. Sad.",103996892,103996892,<br\//>,comment,1575582944,1,False,False,,,103996892,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-da076ce3c65236e619cccb6c70a265dc192ee75e8b00795bf834bc934f71e327.jpg,2,0,[],0,approved,0,1579564791,Wolf Kirchmeir,42542710,"Blind River, Ontario",NULL,NULL
10,10,1575495717,"The author should check and see how robust the vinyl market is these days. She should also consider that writing is not only stories, and that the sounds of the authors' languages can be as gratifying as the narrative being spun.",103972323,103972323,<br\//>,comment,1575495716,1,False,False,,,103972323,,1,0,[],0,approved,0,1575510613,David,69096496,NYC,NULL,NULL
11,11,1575479368,"Can't help but mention that the Koreans and Chinese actually invented the printing press, several 100 years prior, and there were several unsuccessful attempts at replicating it until Gutenberg figured it out...
But yeah, books!",103964754,103964754,<br\//>,comment,1575476902,1,False,False,,,103964754,,1,0,[],0,approved,0,1579523153,Ken Russell,69422006,NY,NULL,NULL
12,12,1575470288,"While I am a longtime and committed book lover, I thoroughly enjoyed - and largely agreed with - Ms. Harrow's Op-Ed.  I was also surprised at the spread and passion of commentators in defense of the printed word.   Last year, Pew told us that 25% of Americans read no books in any form in the year prior to the survey.  That percentage is rising.  Sales or rents of university-required texts are in decline and today's students increasingly eschew lectures and even tutorials.  Like Ms. Harrow, I suspect that the most successful future authors and educators who compete for our scarce attention will be 'experience brokers' .  For some, the amazing interplay between books and our imaginations will persist.  Others - right or wrong - have already moved on and many others will likely to do so as the lines between media blur.",103961918,103961918,<br\//>,comment,1575470286,1,False,False,,,103961918,,6,0,[],0,approved,0,1581782580,Richard Katz,60700521,"Longmont, Colorado",NULL,NULL
13,13,1575446790,"Reading increases the richness of your thinking.
The ability to understand symbols, the ability to think abstractly, the ability to do math are all directly tied to the ability to read.
Reading makes you more empathetic. 
Reading results in increased vocabulary and improved writing skills.
Those who read have higher intelligence and general knowledge of the world than those that don’t.
Reading reduces stress.
Those who listen to read-alouds, get calmer.",103958708,103958708,<br\//>,comment,1575446789,1,False,False,,,103958708,,4,0,[],0,approved,0,1579564865,es,95468676,nc,NULL,NULL
14,14,1575426681,"What balderdash! All books are ""stories""?  Is that all you read/",103943506,103943506,<br\//>,comment,1575388834,1,False,False,,,103943506,,1,0,[],0,approved,0,1575430333,J Farrell,3222131,Austin,NULL,NULL
15,15,1575423683,"Printed literature was not invented by Gutenberg in 1439.  The oldest surviving printed work found in the British Museum is the Diamond Sutra, printed in China in 868.  Using wooden blocks, the Chinese mass produced printed literature centuries before Gutenberg.    
	
The Chinese also invented paper over 2000 years ago.  Paper money and playing cards were also invented in China. 

Over 400,000 copies of one Buddhist collection was printed in the tenth century.  Confucian scholars also produced massive works that could be called the world's first encyclopedias.  

Nor did Gutenberg invent movable type.   The earliest movable type was invented in China by Bi Sheng in 1048.  At first movable type was made out of terra cotta.  Later movable type was made out of metal in Korea.  

Printing spread to the Middle East and Russia as a result of the Mongol conquest in the 13th Century.  It was only one of many Asian inventions that spread to the West at this time. Prior to Gutenberg, the paper was placed on top of the inked type and a cylindrical roller was used to press the ink against the paper.  

Gutenberg's invention was the use of a screw press rather than a roller and the use of ink that included linseed oil.  It is debatable if the screw press was an improvement over the roller, but the linseed oil worked better on metal type, which was more durable than terracotta type. 

The smaller number of characters in the Roman alphabet was also an advantage for Europeans.",103938618,103938618,<br\//>,comment,1575377715,1,False,False,,,103938618,,3,0,[],0,approved,0,1575564412,Robert Scull,91434928,"Cary, NC",NULL,NULL
16,16,1575423188,"Blah blah blah no need for writing no need for words. 

Before Gutenberg, Homer didn't need books, he just talked, blah blah blah, spewing syllables.

So, how did the Iliad and the Odyssey get written? Ummm.

No iphone, no perfect binding, no pencil, but somehow someone wrote a work of literature (gasp) that looks a heck of a lot like a book. If you know how to read.",103936506,103936506,<br\//>,comment,1575354959,1,False,False,,,103936506,,2,0,[],0,approved,0,1579564908,Jake Leibowitz,9308287,NYC,NULL,NULL
17,17,1575423185,"What is this guy really saying?  He may be a kind of writer, but not a very good one.",103940325,103940325,<br\//>,comment,1575382152,1,False,False,,,103940325,,0,0,"[{'commentID': 103957463, 'status': 'approved', 'commentSequence': 103957463, 'userID': 83324734, 'userDisplayName': 'Dixon Pinfold', 'userLocation': 'Toronto', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@cdatta \nThe fancifully-named writer is a she but, yes, she seems to be saying ""Look, mom, I\'m writing!""\n\nSomehow that seems to go along with broadly predicting the future.  When you do so, you\'re harder to firmly gainsay in a lot of ways, and that smacks a little of self-approval.  The way-more-knowing-than-thou tone usually puts me off.', 'createDate': '1575431680', 'updateDate': '1575435089', 'approveDate': '1575435089', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103940325, 'parentUserDisplayName': 'cdatta', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103957463', 'isAnonymous': False}]",1,approved,0,1575423185,cdatta,30398437,Washington,NULL,NULL
18,18,1575423177,"This prediction has been made lots of times, from 1950s science fiction to William Gibson (what you call ""neural threads"" he called ""microsofts""--before Microsoft was a thing).  Let's assume it comes to pass.  You missed the biggest application of all, the one that drove the success of VHS, high-bandwidth streaming, online payments, and secure browsing:  Porn.  Of course, you knew that.  Didn't you?",103932585,103932585,<br\//>,comment,1575329128,1,False,False,,,103932585,,0,0,"[{'commentID': 103959519, 'status': 'approved', 'commentSequence': 103959519, 'userID': 62992125, 'userDisplayName': 'TBone', 'userLocation': 'New Hampshire', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'Microsoft (the company) predates Neuromancer.', 'createDate': '1575460320', 'updateDate': '1575479390', 'approveDate': '1575479390', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103932585, 'parentUserDisplayName': 'charles', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103959519', 'isAnonymous': False}]",1,approved,0,1575423177,charles,8510832,san francisco,NULL,NULL
19,19,1575423170,"The idea that the only people who go to bookstores are ""aging millennials"" and hipsters is idiotic.  All kinds of people go to bookstores.  I see little kids with their mothers there for story time.  I see elderly people who never wanted to adjust to digital formats.  All kinds of people prefer to read from a physical book over e-readers.  Nostalgia and hipness are minor reasons why people prefer physical books.",103945515,103945515,<br\//>,comment,1575393174,1,False,False,,,103945515,,2,0,[],0,approved,0,1579523292,Jess,58020823,Brooklyn,NULL,NULL
20,20,1575423167,You know what? Don't tell us that.,103936253,103936253,<br\//>,comment,1575351542,1,False,False,,,103936253,,0,0,[],0,approved,0,1575423167,Greater Metropolitan Area,12357605,Just far enough from the big city,NULL,NULL
21,21,1575423167,This tired old mare again? Books aren't going away.,103938986,103938986,<br\//>,comment,1575378820,1,False,False,,,103938986,,0,0,[],0,approved,0,1575423167,John,76944665,Morgantown wv,NULL,NULL
22,22,1575423157,"Reading forces your mind to create mental images.  Virtual reality does this for you, and encourages laziness in the brain.  Books should be an integral part of everyone's education.",103941932,103941932,<br\//>,comment,1575385408,1,False,False,,,103941932,,1,0,[],0,approved,0,1579564971,Jerry Lucas,98637394,"Paso Robles, CA",NULL,NULL
23,23,1575423155,"If books disappear, what will Republicans and their ilk ban and burn?",103933367,103933367,<br\//>,comment,1575333204,1,False,False,,,103933367,,2,0,"[{'commentID': 103957571, 'status': 'approved', 'commentSequence': 103957571, 'userID': 83324734, 'userDisplayName': 'Dixon Pinfold', 'userLocation': 'Toronto', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@gtodon \nHow much de-platforming, de facto censorship,and ganging-up on free expression generally is actually the work of Republicans ""and their ilk""?\n\nTaxing them with the wrongs of their opponents is hardly necessary if you want to find things to pillory them for.  Legitimate reasons are in pretty rich supply.', 'createDate': '1575432318', 'updateDate': '1575435000', 'approveDate': '1575435000', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103933367, 'parentUserDisplayName': 'gtodon', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103957571', 'isAnonymous': False}]",1,approved,0,1575946178,gtodon,4123338,"Guanajuato, Mexico",NULL,NULL
24,24,1575415686,"People who get all their information from a 2 inch by 5 inch screen, wasting their lives ""liking"" other people's absurd, self-involved, and trivial lifestyle posts, get the sort of life they deserve.

The rest of the world will cherish books for centuries to come.",103950566,103950566,<br\//>,comment,1575404718,1,False,False,,,103950566,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-85eb2e91241a83e7338dd8741130272e7a05a4834aece30b4eaa2c0a0e678c17.jpg,2,0,[],0,approved,0,1579526503,Objectivist,64675003,Mass.,NULL,NULL
25,0,1575415684,"""It's true your beloved books have died."" Who granted you the authority to make such sweeping proclamations? The sense of quiet discovery  and fellowship found in bookshops and libraries are sadly replaced by the lonely glare of a solitary screen.",103952180,103952180,<br\//>,comment,1575408910,1,False,False,,,103952180,,0,0,[],0,approved,0,1575415684,LH,67461605,New York,NULL,NULL
26,1,1575415683,Undergraduate hubris. As usual.,103934426,103934426,<br\//>,comment,1575338948,1,False,False,,,103934426,,2,0,"[{'commentID': 103957618, 'status': 'approved', 'commentSequence': 103957618, 'userID': 83324734, 'userDisplayName': 'Dixon Pinfold', 'userLocation': 'Toronto', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@David Landrum \nMedieval copyists would still be in business if everyone could pack so much accurate punch into just four words.', 'createDate': '1575432577', 'updateDate': '1579565021', 'approveDate': '1575479373', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103934426, 'parentUserDisplayName': 'David Landrum', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103957618', 'isAnonymous': False}]",1,approved,0,1579565026,David Landrum,40849506,Portland,NULL,NULL
27,2,1575415683,"This op-Ed is a real reach. The fact that e-books are supplanting printed ones does not support the argument that reading is a lost art. If you’ll excuse me, I’ll now peruse the rest of today’s digital NYT.",103941979,103941979,<br\//>,comment,1575385497,1,False,False,,,103941979,,2,0,[],0,approved,0,1575676377,John D,18215486,San Diego,NULL,NULL
28,3,1575415682,I'll also be dead. Big deal.Things change.,103944150,103944150,<br\//>,comment,1575390350,1,False,False,,,103944150,,3,0,[],0,approved,0,1575946216,Fighting Sioux,75044768,Rochester,NULL,NULL
29,4,1575415679,God help us if this future comes to pass.,103945563,103945563,<br\//>,comment,1575393262,1,False,False,,,103945563,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-b4837f553639d9b75117c40d06ad372daf6f3646930f4274b85803d70a0d9d93.jpg,2,0,[],0,approved,0,1575432412,CV Danes,68246165,Upstate NY,NULL,NULL
30,5,1575415676,"It is entirely likely that ""the Verse"" will be hacked by ""a middle school student from Michoacán"" or more likely some part of the even less developed world. No American child of 2036 will have the intellectual curiosity or the discipline to make the the effort. It will take someone disciplined enough to actually read books. Most Americans don't even have the discipline to read the entirety of this article, and (as of 8:30 MST) less than 500 have the mental acuity to think or write anything cogent about it.

Literacy is already over. It was dying at the turn of the century. Aside from a few mossbacks who actually read the New York Times, we have already descended into an age in which more than half of Americans refuse to take advantage of the information at their finger tips.

The ""verse"" and it's competitors will be an entertaining toy for the lazy, then, like the smartphone, it will become the tool of those best able to record and project their baseless opinions and raw emotions to make a small and pointless living harvesting micropayments from fickle, but insatiable followers. By the time it arrives, there will be no one left capable of reading, let alone seriously considering or understanding Adam Smith or David Hume.",103942803,103942803,<br\//>,comment,1575387306,1,False,False,,,103942803,,0,0,[],0,approved,0,1575415676,lilrabbit,11595107,In The Big Woods,NULL,NULL
31,6,1575415668,"In 20 years, I'll be dead.  So I won't be able to read books anyway.",103945745,103945745,<br\//>,comment,1575393624,1,False,False,,,103945745,,1,0,[],0,approved,0,1575416551,Ben,38581592,Chicago,NULL,NULL
32,7,1575415668,Have you been in a public library lately?  You'd better make a trip with my grandchildren before you announce the death of books.,103951870,103951870,<br\//>,comment,1575407885,1,False,False,,,103951870,,0,0,[],0,approved,0,1576767360,Dick Koubek,68227859,Maine,NULL,NULL
33,8,1575415665,"Books dead?  
What a bizarre assertion.
Try to convince the busy librarians throughout the country of that....",103948060,103948060,<br\//>,comment,1575398716,1,False,False,,,103948060,,0,0,[],0,approved,0,1575415665,Maureen Richards,75863987,"Sherborn, MA",NULL,NULL
34,9,1575415660,One word response that ends all debate: vinyl.,103939354,103939354,<br\//>,comment,1575379872,1,False,False,,,103939354,,0,0,[],0,approved,0,1575415660,Billy Bobby,66021415,NY,NULL,NULL
35,10,1575415655,Reminds me of the film “Brainstorm!”,103939549,103939549,<br\//>,comment,1575380370,1,False,False,,,103939549,,0,0,[],0,approved,0,1575415655,trblmkr,13483611,NYC,NULL,NULL
36,11,1575415654,"No.

The format of print books itself has value.  It engages the active intellect and imagination in ways digital and virtual means do not.  A person retains more cognitive control over print, while digital and virtual means suck them in and reduce agency, and I would argue, their human dignity.  

This essay is cute for a 20 something debut author.  But as a 40 year old mother and experienced therapist, I have seen the damage that the sudden digitalization of our lives has done to the mental health of young people and the decline in literacy that is the result of substituting tablets for print in schools.

I do not allow my children to use devices or screens.  Period.  They live in real reality and they read paper books. 

I know they will eventually have tech in their lives, but at least I can give them the memory of freedom and reality.

And as for myself, I will always read paper books.",103937129,103937129,<br\//>,comment,1575368416,1,False,False,,,103937129,,0,0,[],0,approved,0,1575415654,A F,83758883,Connecticut,NULL,NULL
37,12,1575415652,"Eclipses and certain demographic categories aside, predicting the future is so notoriously fruitless that I wonder why anyone bothers.  Some people just enjoy trying to be impressive, I guess, or are battling boredom.  Some hate the world and want to squint, grimace, and groan till a spell is cast and presto, it's all better now.  Ta-da.  The future is for vulgarians, Paul Fussell asserted.

Woody Allen's Sleeper plays it for laughs but others I've stumbled across always try for the beyond-serious super-knowing air.  This one is typical.

I sit patiently, waiting for my flying car, my twelve-foot rib of celery, and my Orgasmatron.",103936657,103936657,<br\//>,comment,1575357410,1,False,False,,,103936657,,0,0,[],0,approved,0,1575415652,Dixon Pinfold,83324734,Toronto,NULL,NULL
38,13,1575415649,After the climate catastrophe collapses civilisation (before 2039) you will find that paper reigns supreme again.,103932860,103932860,<br\//>,comment,1575330506,1,False,False,,,103932860,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-4b4f2fb8a708b324bdd89c477e046bbad2c27280b5b0398aaf4749d246a0d72b.jpg,1,0,[],0,approved,0,1575417758,William,68053616,Memphis,NULL,NULL
39,14,1575415646,I'll be dead in twenty years.  I would hate to outlive books.,103951277,103951277,<br\//>,comment,1575406230,1,False,False,,,103951277,,0,0,[],0,approved,0,1575415646,seniorsandy,37800465,VA,NULL,NULL
